RDB$RELATION_NAME	FIELD_NAME	FIELD_TYPE	FIELD_CHARSET	FIELD_COLLATION	FIELD_DEFAULT	FIELD_CHECK	FIELD_DESCRIPTION	
PYMVENT01_CAB_CAJAS            	PYMVENT01_VEIMAGEN             	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
GRID_PYMVENT21_PV              	PYMVENT21_TOTAL                	DOUBLE	null	null	null	null	null	
PYMINGR01_CAB_FACTURAS         	PYMINGR01_DESCUENTOS           	DOUBLE	null	null	DEFAULT 0.00	null	null	
MSGPOLI23_DET_BITACORA         	MSGPOLI23_IMPORTE_SINMOD       	DOUBLE	null	null	DEFAULT 0.00	null	null	
GRID_MSGPOLI23                 	MSGPOLI23_IMPORTE_USUARIO      	DOUBLE	null	null	DEFAULT 0.00	null	null	
GRID_SOCSYST23                 	SOCSYST13_DESCRI               	VARCHAR(100)	ASCII                          	ASCII                          	null	null	null	
VR_SOCWFLO01_SOCWFL03          	ID_SOCUSUA01                   	BIGINT	null	null	null	null	null	
VR_SOCUSUA03_SOCUSUA05         	SOCUSUA05_FRM_05               	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
GRID_MSGPOLI02_CONCONCILIAR    	MSGPOLI02_HABER                	DOUBLE	null	null	DEFAULT 0.00	null	null	
PYMVENT21_DET_TICKETS          	PYMVENT21_TOTAL                	DOUBLE	null	null	null	null	null	
GRID_MSGPOLI02_SINCONCILIAR    	MSGPOLI02_MES                  	SMALLINT	null	null	null	null	null	
GRID_MSGPOLI23_ALL             	MSGPOLI23_IMPORTE_SEGR         	DOUBLE	null	null	DEFAULT 0.00	null	null	
GRID_PYMINVE10_PYMINVE30_PROVE 	PYMINVE20_FAPL                 	TIMESTAMP	null	null	null	null	null	
GRID_ON2REGI04                 	SOCUSUA02_USUARIO              	VARCHAR(20)	ASCII                          	null	null	null	null	
GRID_PYMVENT21_PV_DEVOL        	PYMVENT21_TOTAL                	DOUBLE	null	null	null	null	null	
GRID_ON2REGI10                 	PRODUCTO                       	VARCHAR(50)	ASCII                          	null	null	null	null	
GRID_SECPLAN02                 	SECPLAN02_HDIGITAL             	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
GRID_PYMINVE26                 	TALLA                          	VARCHAR(50)	ASCII                          	null	null	null	null	
GRID_PYMINGR02                 	EXCENTO                        	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
SECPLAN02_DET_PLANES           	SECPLAN02_FAPL                 	TIMESTAMP	null	null	DEFAULT CURRENT_TIMESTAMP	null	null	
GRID_SCEXMLS11_ERRORES         	SCEXMLS11_ERROR                	BLOB SUB_TYPE 1	ASCII                          	null	null	null	null	
GRID_PYMINGR06                 	PYMINGR06_DESCUENTO            	DOUBLE	null	null	DEFAULT 0.00	null	null	
REP_PYMLOGI01_REFERENCIAS      	ORIGEN_PAIS                    	VARCHAR(50)	ASCII                          	ASCII                          	null	null	null	
VR_SOCUSUA02_SOCUSUA01_ALL     	SOCSYST10_FILTRO_COD           	CHAR(4) 	ASCII                          	null	null	null	null	
SCEXMLS40_CAB_POLIZAS          	SCEXMLS40_FAPL                 	TIMESTAMP	null	null	DEFAULT CURRENT_TIMESTAMP	null	null	
REP_PYMINVE25_SOLICITUD        	STOCKMAX                       	DOUBLE	null	null	null	null	null	
VR_SOCWFLO04_SOCUSUA03         	SOCUSUA05_BTO_INF              	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
VR_SOCUSUA06_SOCUSUA03         	SOCUSUA30_FNAC                 	DATE	null	null	null	null	null	
VW_PYMVENT01_PYMVENT02         	RELA_PYMINVE40_RESER_PAPAGO    	BIGINT	null	null	null	null	null	
REP_ON2CFDS10                  	SOCSYST20_FOLIO_SERIE          	VARCHAR(20)	ASCII                          	ASCII                          	DEFAULT 00000	null	null	
SOCSYST01_CAB_CLIENTES         	SOCSYST01_CFDI_PWD             	VARCHAR(100)	ASCII                          	ASCII                          	null	null	null	
ZTMPINVE10_PRODUCTOS           	ZTMPINVE10_PLISTA3             	DOUBLE	null	null	null	null	null	
ON2REGI10_CAB_CLIENTES         	ON2REGI10_NOTAS                	BLOB SUB_TYPE 1	ASCII                          	null	null	null	null	
PYMINVE10_CAB_PRODUCTOS        	PYMINVE10_AUTDESC              	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
PYMVENT01_CAB_CAJAS            	PYMVENT01_CONCLIENTE           	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
GRID_PYMVENT21_PV              	PYMVENT21_ADEUDO               	DOUBLE	null	null	null	null	null	
