RDB$INDEX_NAME	RDB$FIELD_NAME	RDB$RELATION_NAME	
PKY_SICEMPR01                  	ID_SICEMPR01                   	SICEMPR01_CAB_IMPUESTOS        	
PKY_SICCONT02                  	ID_SICCONT02                   	SICCONT02_ARB_PLANCTA_EMP      	
PKY_SOCWFLO06                  	ID_SOCWFLO06                   	SOCWFLO06_MOV_AUTORIZACION     	
PKY_PYMINGR01                  	ID_PYMINGR01                   	PYMINGR01_CAB_FACTURAS         	
PKY_SOCUSUA41                  	ID_SOCUSUA41                   	SOCUSUA41_DET_LOCALIDADES      	
PKY_SICINGR02                  	ID_SICINGR02                   	SICINGR02_DET_REFERENTES       	
PKY_PYMEGRE20                  	ID_PYMEGRE20                   	PYMEGRE20_MOV_UPLOADS          	
PKY_PYMINVE29_DEP_STOCK        	ID_PYMINVE29                   	PYMINVE29_DEP_STOCK            	
PKY_SICEMPR03                  	ID_SICEMPR03                   	SICEMPR03_DET_COEFICIENTES     	
PKY_SOCSYST10                  	ID_SOCSYST10                   	SOCSYST10_TBL_LISTAESTADOS     	
PKY_PYMEGRE12                  	ID_PYMEGRE12                   	PYMEGRE12_MOV_RENDICIONES      	
PKY_PYMINVE28_DEP_PEDIDOS      	ID_PYMINVE28                   	PYMINVE28_DEP_PEDIDOS          	
PKY_PYMINVE32                  	ID_PYMINVE32                   	PYMINVE32_CAB_INVENTARIO       	
PKY_SICCONT70_EMPLEADOS        	ID_SICCONT70                   	SICCONT70_MOV_EMPLEADOS        	
PKY_SOCUSUA60                  	ID_SOCUSUA60                   	SOCUSUA60_MOV_CONVERSIONES     	
PKY_SOCSYST09                  	ID_SOCSYST09                   	SOCSYST09_DEP_LISTAESTADOS     	
PKY_PYMVENT45                  	ID_PYMVENT45                   	PYMVENT45_CAB_GARANTIAS        	
PKY_PYMEGRE11                  	ID_PYMEGRE11                   	PYMEGRE11_DET_FACTURASNOTAS    	
PKY_SOCUSUA07                  	ID_SOCUSUA07                   	SOCUSUA07_DEP_REPORTES         	
PKY_PYMEGRE10                  	ID_PYMEGRE10                   	PYMEGRE10_CAB_CHEQUES          	
PK_MSGPOLI38_MOV_SALDOSAFAVOR  	ID_MSGPOLI38                   	MSGPOLI38_MOV_SALDOSAFAVOR     	
PKY_SOCSYST14                  	ID_SOCSYST14                   	SOCSYST14_DET_PARAMETROS       	
PKY_PYMINVE50                  	ID_PYMINVE50                   	PYMINVE50_CAB_CONCEPTOS        	
PKY_PYMEGRE06                  	ID_PYMEGRE06                   	PYMEGRE06_CAB_NOTASGASTOS      	
PKY_ON2CFDS13                  	ID_ON2CFDS13                   	ON2CFDS13_DET_PEDIMENTOS       	
PKY_PYMINVE37                  	ID_PYMINVE37                   	PYMINVE37_MOV_CANTIDADES_MTC   	
PKY_PYMINVE46                  	ID_PYMINVE46                   	PYMINVE46_DET_TRANSFERENCIAS   	
PK_MSGPOLI37_MOV_POLIZAPAGO    	ID_MSGPOLI37                   	MSGPOLI37_MOV_POLIZAPAGO       	
PKY_SOCSYST15                  	ID_SOCSYST15                   	SOCSYST15_DET_PARAM_REPORT     	
PKY_PYMINVE45                  	ID_PYMINVE45                   	PYMINVE45_CAB_TRANSFERENCIAS   	
PKY_PYMEGRE05                  	ID_PYMEGRE05                   	PYMEGRE05_MOV_IMPUESTOS        	
PKY_SOCSYST12                  	ID_SOCSYST12                   	SOCSYST12_DET_ACCESOS          	
PKY_PYMINVE31                  	ID_PYMINVE31                   	PYMINVE31_DEP_PROVEEDORES      	
PKY_PYMVENT35                  	ID_PYMVENT35                   	PYMVENT35_DET_INGRESOS         	
PKY_SECPLAN30                  	ID_SECPLAN30                   	SECPLAN30_MOV_PYMINVE31        	
PKY_SOCSYST16                  	ID_SOCSYST16                   	SOCSYST16_DET_PARAM_WHERE      	
PKY_PYMEGRE04                  	ID_PYMEGRE04                   	PYMEGRE04_DET_REFERENCIAS      	
PKY_SICCONT40                  	ID_SICCONT40                   	SICCONT40_ARB_CONCEPTOS        	
PK_SICEGRE01                   	ID_SICEGRE01                   	SICEGRE01_CAB_PROVEEDORES      	
PKY_PYMEGRE03                  	ID_PYMEGRE03                   	PYMEGRE03_DET_DETALLES         	
PKY_SICINGR01                  	ID_SICINGR01                   	SICINGR01_CAB_CLIENTES         	
PK_SOCUSUA50                   	ID_SOCUSUA50                   	SOCUSUA50_ARB_LOCALIDADES      	
PKY_ON2CFDS16                  	ID_ON2CFDS16                   	ON2CFDS16_DEP_DOCUMENTOS       	
PKY_ON2CFDS17                  	ID_ON2CFDS17                   	ON2CFDS17_DET_GASTOSNOCOMP     	
PKY_SOCWFLO05                  	ID_SOCWFLO05                   	SOCWFLO05_MAE_AUTORIZACION     	
PKY_SOCUSUA40                  	ID_SOCUSUA40                   	SOCUSUA40_DET_DOCUMENTOS       	
PKY_ON2CFDS14                  	ID_ON2CFDS14                   	ON2CFDS14_DEP_ADDENDAS         	
PKY_SOCUTIL02                  	ID_SOCUTIL02                   	SOCUTIL02_TBL_ULTIDS           	
PKY_SOCUSUA06                  	ID_SOCUSUA06                   	SOCUSUA06_MOV_MENUS            	
PKY_SOCWFLO01                  	ID_SOCWFLO01                   	SOCWFLO01_ARB_ORGANIGRAMA      	
PKY_SOCWFLO04                  	ID_SOCWFLO04                   	SOCWFLO04_MOV_PEFILES          	
PKY_SOCWFLO02                  	ID_SOCWFLO02                   	SOCWFLO02_TBL_CARGOS           	
PKY_SOCUSUA30                  	ID_SOCUSUA30                   	SOCUSUA30_MAE_ENTFISICAS       	
PKY_ZTMPPOLI01                 	ZTMPPOLI01_USER                	ZTMPPOLI01_PROVEEDORES         	
PKY_ZTMPPOLI01                 	ID_ORDEN                       	ZTMPPOLI01_PROVEEDORES         	
PKY_PYMEGRE02                  	ID_PYMEGRE02                   	PYMEGRE02_CAB_FACTURAS         	
PKY_SOCSYST03                  	ID_SOCSYST03                   	SOCSYST03_DET_SISTEMAS         	
PKY_MSGPOLI12                  	ID_MSGPOLI12                   	MSGPOLI12_MOV_FILTROIMPUESTOS  	
PKY_SOCUSUA05                  	ID_SOCUSUA05                   	SOCUSUA05_DEP_FUNCIONES        	
PKY_SOCSYST06                  	ID_SOCSYST06                   	SOCSYST06_DET_ARBNIVELES       	
PK_MSGPOLI36_MOV_ACREDITAMIENTO	ID_MSGPOLI36                   	MSGPOLI36_MOV_ACREDITAMIENTO   	
PKY_SOCWFLO03                  	ID_SOCWFLO03                   	SOCWFLO03_MOV_USUARIOS         	
PKY_SOCUSUA02                  	ID_SOCUSUA02                   	SOCUSUA02_MAE_USUARIOS         	
PK_MSGPOLI35_DET_PAGO          	ID_MSGPOLI35                   	MSGPOLI35_DET_PAGO             	
PKY_SOCSYST42                  	ID_SOCSYST42                   	SOCSYST42_DET_FUNCIONES        	
PKY_SOCSYST05                  	ID_SOCSYST05                   	SOCSYST05_CAB_ARBCABECERAS     	
PKY_SOCSYST41                  	ID_SOCSYST41                   	SOCSYST41_DEP_CORREOS          	
PKY_SRHNOMI04                  	ID_SRHNOMI04                   	SRHNOMI04_DET_RETENCIONES      	
PKY_SOCUSUA04                  	ID_SOCUSUA04                   	SOCUSUA04_ARB_MENUS            	
PKY_SOCUSUA20                  	ID_SOCUSUA20                   	SOCUSUA20_MAE_ENTMORALES       	
